time,id,x,y
10,1,2.8626480102539062,-5.2960100173950195
10,2,-0.6823171377182007,-2.6476056575775146
20,1,2.8442258834838867,-5.29329776763916
20,2,-0.6558579206466675,-2.6513500213623047
30,1,2.8254151344299316,-5.30608606338501
30,2,-0.5670744180679321,-2.7403206825256348
40,1,2.7266368865966797,-5.231070041656494
40,2,-0.449154257774353,-2.8546462059020996
50,1,2.5459542274475098,-5.057078838348389
50,2,-0.3254735469818115,-2.9479243755340576
60,1,2.418992519378662,-4.937021255493164
60,2,-0.1922386884689331,-3.0208678245544434
70,1,2.166489601135254,-4.831076145172119
70,2,-0.05799686908721924,-3.0750696659088135
80,1,2.0194010734558105,-4.817093849182129
80,2,0.06794905662536621,-3.1165895462036133
90,1,1.8793249130249023,-4.737395286560059
90,2,0.1830613613128662,-3.1516709327697754
100,1,1.6192742586135864,-4.661296367645264
100,2,0.32126355171203613,-3.1890969276428223
110,1,1.3148654699325562,-4.644604682922363
110,2,0.458562970161438,-3.222714900970459
120,1,1.1579887866973877,-4.615847587585449
120,2,0.5941959619522095,-3.2599234580993652
130,1,0.970257043838501,-4.54026985168457
130,2,0.6982600688934326,-3.279217481613159
140,1,0.7185298800468445,-4.420871734619141
140,2,0.7928406000137329,-3.308452606201172
150,1,0.5278986692428589,-4.359079837799072
150,2,0.8854626417160034,-3.3585495948791504
160,1,0.271808385848999,-4.240220546722412
160,2,0.9929211139678955,-3.421265125274658
170,1,0.08683022856712341,-4.090394496917725
170,2,1.1040068864822388,-3.498723268508911
180,1,-0.08798569440841675,-3.895451784133911
180,2,1.2148724794387817,-3.5786097049713135
190,1,-0.2501283884048462,-3.75167179107666
190,2,1.3274168968200684,-3.6606671810150146
200,1,-0.4981645941734314,-3.5217602252960205
200,2,1.4404222965240479,-3.7434730529785156
210,1,-0.6505987644195557,-3.374326705932617
210,2,1.5551910400390625,-3.8299202919006348
220,1,-0.8370904922485352,-3.1770472526550293
220,2,1.6717841625213623,-3.9133434295654297
230,1,-1.055443286895752,-3.0338926315307617
230,2,1.7871240377426147,-3.990713596343994
240,1,-1.2689064741134644,-2.9030771255493164
240,2,1.8911054134368896,-4.0588860511779785
250,1,-1.4101295471191406,-2.7655441761016846
250,2,1.9944437742233276,-4.128772735595703
260,1,-1.5952972173690796,-2.579087257385254
260,2,2.0981945991516113,-4.1963114738464355
270,1,-1.7823048830032349,-2.492888927459717
270,2,2.207202434539795,-4.26596212387085
280,1,-2.0205559730529785,-2.356858968734741
280,2,2.314713716506958,-4.333837509155273
290,1,-2.132194995880127,-2.2177188396453857
290,2,2.4262633323669434,-4.407242774963379
300,1,-2.2196402549743652,-2.1000959873199463
300,2,2.5247063636779785,-4.470726490020752
310,1,-2.2196402549743652,-2.1000959873199463
310,2,2.6407690048217773,-4.54286003112793
320,1,-2.2196402549743652,-2.1000959873199463
320,2,2.766432285308838,-4.625723838806152
330,1,-2.2196402549743652,-2.1000959873199463
330,2,2.868786334991455,-4.687005996704102
340,1,-2.2196402549743652,-2.1000959873199463
340,2,2.9882616996765137,-4.764281272888184
350,1,-2.2196402549743652,-2.1000959873199463
350,2,3.031054973602295,-4.797856330871582
360,1,-2.2196402549743652,-2.1000959873199463
360,2,2.939239978790283,-4.7554426193237305
